name,author,content,tag
將進酒·君不見黃河之水天上來,李白,君不見黃河之水天上來，奔流到海不復回。君不見高堂明鏡悲白髮，朝如青絲暮成雪。人生得意須盡歡，莫使金樽空對月。天生我材必有用，千金散盡還復來。烹羊宰牛且為樂，會須一飲三百杯。岑夫子，丹丘生，將進酒，杯莫停。與君歌一曲，請君為我側耳聽。鐘鼓饌玉不足貴，但願長醉不復醒。古來聖賢皆寂寞，惟有飲者留其名。陳王昔時宴平樂，斗酒十千恣歡謔。主人何為言少錢，徑須沽取對君酌。五花馬，千金裘，呼兒將出換美酒，與爾同銷萬古愁。,哲理詩，唐詩三百首
靜夜思,李白,床前明月光，疑是地上霜。舉頭望明月，低頭思故鄉。,描寫月亮，思鄉詩，唐詩三百首，小學
蜀道難,李白,"噫籲嚱，危乎高哉！蜀道之難，難於上青天！蠶叢及魚鳧，開國何茫然！爾來四萬八千歲，不與秦塞通人煙。西當太白有鳥道，可以橫絕峨眉巔。地崩山摧壯士死，然後天梯石棧相鉤連。上有六龍回日之高標，下有衝波逆折之回川。黃鶴之飛尚不得過，猿猱欲度愁攀援。青泥何盤盤，百步九折縈巖巒。捫參歷井仰脅息，以手撫膺坐長嘆。問君西遊何時還？畏途巉巖不可攀。但見悲鳥號古木，雄飛雌從繞林間。又聞子規啼夜月，愁空山。蜀道之難,難於上青天，使人聽此凋朱顏！連峰去天不盈尺，枯鬆倒掛倚絕壁。飛湍瀑流爭喧豗，砯崖轉石萬壑雷。其險也如此，嗟爾遠道之人胡為乎來哉！劍閣崢嶸而崔嵬，一夫當關，萬夫莫開。所守或匪親，化為狼與豺。朝避猛虎，夕避長蛇；磨牙吮血，殺人如麻。錦城雖雲樂，不如早還家。蜀道之難,難於上青天，側身西望長諮嗟！",唐詩三百首
夢遊天姥吟留別,李白,海客談瀛洲，煙濤微茫信難求。越人語天姥，雲霞明滅或可睹。天姥連天向天橫，勢拔五嶽掩赤城。天台四萬八千丈，對此欲倒東南傾。我欲因之夢吳越，一夜飛度鏡湖月。湖月照我影，送我至剡溪。謝公宿處今尚在，淥水盪漾清猿啼。腳著謝公屐，身登青雲梯。半壁見海日，空中聞天雞。千巖萬轉路不定，迷花倚石忽已暝。熊咆龍吟殷巖泉，慄深林兮驚層巔。雲青青兮欲雨，水澹澹兮生煙。列缺霹靂，丘巒崩摧。洞天石扉，訇然中開。青冥浩蕩不見底，日月照耀金銀臺。霓為衣兮風為馬，雲之君兮紛紛而來下。虎鼓瑟兮鸞回車，仙之人兮列如麻。忽魂悸以魄動，恍驚起而長嗟。惟覺時之枕蓆，失向來之煙霞。世間行樂亦如此，古來萬事東流水。別君去兮何時還，且放白鹿青崖間，須行即騎訪名山。安能摧眉折腰事權貴，使我不得開心顏。,唐詩三百首，高中
望廬山瀑布,李白,日照香爐生紫煙，遙看瀑布掛前川。飛流直下三千尺，疑是銀河落九天。,山水詩，小學
贈汪倫,李白,李白乘舟將欲行，忽聞岸上踏歌聲。桃花潭水深千尺，不及汪倫送我情。,送別詩，友情詩，小學
行路難·有耳莫洗潁川水,李白,有耳莫洗潁川水，有口莫食首陽蕨。含光混世貴無名，何用孤高比雲月？吾觀自古賢達人，功成不退皆殞身。子胥既棄吳江上，屈原終投湘水濱。陸機雄才豈自保？李斯稅駕苦不早。華亭鶴唳詎可聞？上蔡蒼鷹何足道？君不見吳中張翰稱達生，秋風忽憶江東行。且樂生前一杯酒，何須身後千載名？,唐詩三百首，人生
早發白帝城,李白,朝辭白帝彩雲間，千里江陵一日還。兩岸猿聲啼不住，輕舟已過萬重山。,唐詩三百首
獨坐敬亭山,李白,眾鳥高飛盡，孤雲獨去閒。相看兩不厭，只有敬亭山。,小學，孤獨
獨坐敬亭山,李白,合沓牽數峰，奔地鎮平楚。中間最高頂，髣髴接天語。,
